time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,27,7,0,0
2026-06-15 00:00:00+00:00,11,4,0,0
2026-06-16 00:00:00+00:00,15,5,0,0
2026-06-17 00:00:00+00:00,30,8,0,0
2026-06-18 00:00:00+00:00,32,9,0,0
2026-06-19 00:00:00+00:00,27,7,0,0
2026-06-20 00:00:00+00:00,34,10,0,0
2026-06-21 00:00:00+00:00,43,10,0,0
2026-06-22 00:00:00+00:00,43,10,0,0
2026-06-23 00:00:00+00:00,34,10,0,0
2026-06-24 00:00:00+00:00,31,11,0,0
2026-06-25 00:00:00+00:00,37,9,0,0
2026-06-26 00:00:00+00:00,14,5,0,0
2026-06-27 00:00:00+00:00,20,6,0,0
