time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-02 00:00:00+00:00,205,141,156,1
2025-12-03 00:00:00+00:00,127,46,31,3
2025-12-04 00:00:00+00:00,8,4,7,1
2025-12-05 00:00:00+00:00,10,6,0,0
2025-12-06 00:00:00+00:00,28,17,3,1
2025-12-07 00:00:00+00:00,7,3,0,0
2025-12-08 00:00:00+00:00,3,3,5,1
2025-12-09 00:00:00+00:00,4,4,0,0
2025-12-10 00:00:00+00:00,3,3,8,1
2025-12-11 00:00:00+00:00,6,2,0,0
2025-12-12 00:00:00+00:00,8,4,0,0
2025-12-13 00:00:00+00:00,9,5,0,0
2025-12-14 00:00:00+00:00,8,4,0,0
2025-12-15 00:00:00+00:00,4,4,0,0
2025-12-16 00:00:00+00:00,8,4,0,0
2025-12-17 00:00:00+00:00,9,5,0,0
2025-12-18 00:00:00+00:00,15,7,0,0
2025-12-19 00:00:00+00:00,13,9,0,0
2025-12-20 00:00:00+00:00,17,5,0,0
2025-12-21 00:00:00+00:00,3,3,0,0
2025-12-22 00:00:00+00:00,14,6,1,1
2025-12-23 00:00:00+00:00,7,3,0,0
2025-12-24 00:00:00+00:00,11,4,0,0
2025-12-25 00:00:00+00:00,10,3,0,0
2025-12-26 00:00:00+00:00,10,3,0,0
2025-12-27 00:00:00+00:00,13,6,0,0
2025-12-28 00:00:00+00:00,12,5,0,0
2025-12-29 00:00:00+00:00,12,4,0,0
2025-12-30 00:00:00+00:00,12,5,0,0
